Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,415.1700134277344,416.239990234375,406.92999267578125,409.5899963378906,399.8650817871094,86585800
2022-06-02,409.4200134277344,417.44000244140625,407.0400085449219,417.3900146484375,407.47991943359375,79609600
2022-06-03,412.3999938964844,414.0400085449219,409.510009765625,410.5400085449219,400.79254150390625,71874300
2022-06-06,414.7799987792969,416.6099853515625,410.54998779296875,411.7900085449219,402.0129089355469,57508900
2022-06-07,408.1000061035156,416.2200012207031,407.6099853515625,415.739990234375,405.8690490722656,59272400
2022-06-08,413.92999267578125,415.82000732421875,410.3800048828125,411.2200012207031,401.4563903808594,64350000
2022-06-09,409.3399963378906,411.739990234375,401.44000244140625,401.44000244140625,391.9085998535156,86289800
2022-06-10,394.8800048828125,395.7799987792969,389.75,389.79998779296875,380.54498291015625,132893900
2022-06-13,379.8500061035156,381.80999755859375,373.29998779296875,375.0,366.09637451171875,170004900
2022-06-14,376.8500061035156,377.94000244140625,370.5899963378906,373.8699951171875,364.99322509765625,104011800
2022-06-15,377.3599853515625,383.8999938964844,372.1199951171875,379.20001220703125,370.1966552734375,125666800
2022-06-16,370.510009765625,370.94000244140625,364.0799865722656,366.6499938964844,357.94464111328125,134473300
2022-06-17,365.510009765625,369.3800048828125,362.1700134277344,365.8599853515625,358.71624755859375,111113900
2022-06-21,371.8900146484375,376.5299987792969,371.80999755859375,375.07000732421875,367.7464599609375,76811900
2022-06-22,370.6199951171875,378.7200012207031,370.17999267578125,374.3900146484375,367.0797424316406,90059400
2022-06-23,376.6400146484375,378.8299865722656,372.8900146484375,378.05999755859375,370.67803955078125,79292100
2022-06-24,381.3999938964844,390.0899963378906,381.3699951171875,390.0799865722656,382.46331787109375,98050300
2022-06-27,391.04998779296875,391.3599853515625,387.44000244140625,388.5899963378906,381.00244140625,66009600
2022-06-28,390.2300109863281,393.1600036621094,380.5299987792969,380.6499938964844,373.21746826171875,86548900
2022-06-29,381.2300109863281,382.2699890136719,378.4200134277344,380.3399963378906,372.9134826660156,65676000
2022-06-30,376.239990234375,380.6600036621094,372.55999755859375,377.25,369.88385009765625,112508300
2022-07-01,376.55999755859375,381.70001220703125,373.79998779296875,381.239990234375,373.7959899902344,74839700
2022-07-05,375.8800048828125,381.9800109863281,372.8999938964844,381.9599914550781,374.50189208984375,81438000
2022-07-06,382.1099853515625,385.8699951171875,379.6000061035156,383.25,375.7666931152344,70426200
2022-07-07,385.1199951171875,389.8299865722656,383.2699890136719,388.989990234375,381.39459228515625,64525900
2022-07-08,387.2699890136719,390.6400146484375,385.6600036621094,388.6700134277344,381.08087158203125,72397800
2022-07-11,385.8500061035156,386.8699951171875,383.5,384.2300109863281,376.7275390625,58366900
2022-07-12,383.6499938964844,386.1600036621094,378.989990234375,380.8299865722656,373.3939514160156,62219200
2022-07-13,375.1000061035156,381.9200134277344,374.6600036621094,378.8299865722656,371.4329833984375,84224600
