call,spy,iv,sofr1m,sofr1m50,sofr3m,sofr3m50,sofr3m200,sofr6m,sofr6m50,sofr6m200,sofr12m,sofr12m50,sofr12m200,baseprice,50price,100price,250price,500price,750price,1000price,sofr12mprice,sofr6mprice,sofr3mprice,sofr1mprice,hvol6price,hvol3price,hvol1price,ivolprice,error
0.2,421.19,13.725,5.33165,5.3257,5.39847,5.39771,5.1226,5.46948,5.4613,5.1927,5.43835,5.41697,5.1149,2.27,0.24,0.43,1.09,2.27,3.21,4.28,2.27,2.27,2.27,2.27,2.26,2.23,2.29,2.29,2.07
0.14,420.46,13.6,5.32444,5.32594,5.37822,5.39789,5.1264,5.43909,5.46165,5.1958,5.38011,5.41834,5.1174,2.26,0.21,0.4,1.08,2.26,3.22,4.25,2.26,2.26,2.26,2.26,2.25,2.21,2.28,2.28,2.1199999999999997
0.16,423.63,13.092,5.32491,5.32623,5.3796,5.39819,5.13,5.44552,5.46226,5.1987,5.38411,5.4199,5.1194,2.26,0.2,0.39,1.08,2.26,3.31,4.22,2.26,2.26,2.26,2.26,2.23,2.2,2.27,2.26,2.0999999999999996
0.07,417.55,14.286,5.32605,5.3265,5.38749,5.3985,5.1338,5.45583,5.46274,5.2019,5.39586,5.42073,5.1218,2.25,0.19,0.39,1.07,2.25,3.41,4.18,2.25,2.25,2.25,2.25,2.22,2.26,2.27,2.27,2.18
0.04,412.55,15.57,5.32686,5.32676,5.38998,5.39877,5.1376,5.45691,5.46298,5.2051,5.40349,5.42116,5.1246,2.24,0.18,0.38,1.07,2.24,3.43,4.13,2.24,2.24,2.24,2.24,2.19,2.28,2.26,2.19,2.2
0.04,410.68,16.299,5.32412,5.327,5.38321,5.39885,5.1414,5.44063,5.46296,5.2083,5.37295,5.42091,5.1271,2.23,0.17,0.38,1.06,2.23,3.42,4.19,2.23,2.23,2.23,2.23,2.17,2.27,2.25,2.17,2.19
0.03,415.59,15.132,5.32008,5.32713,5.37712,5.3988,5.145,5.43449,5.46282,5.2113,5.35922,5.42057,5.1296,2.22,0.16,0.38,1.05,2.22,3.41,4.34,2.22,2.22,2.22,2.22,2.25,2.26,2.24,2.26,2.1900000000000004
0.03,418.2,14.171,5.31959,5.32723,5.38275,5.39879,5.1487,5.44273,5.46279,5.2146,5.36741,5.42025,5.1323,2.21,0.16,0.37,1.05,2.21,3.4,4.5,2.21,2.21,2.21,2.21,2.27,2.25,2.23,2.23,2.18
0.03,422.66,13.581,5.32271,5.32733,5.3919,5.39908,5.1525,5.45367,5.46328,5.2179,5.39369,5.42101,5.1351,2.2,0.16,0.37,1.04,2.2,3.38,4.58,2.2,2.2,2.2,2.2,2.26,2.24,2.22,2.22,2.1700000000000004
0.08,430.76,12.029,5.32971,5.32762,5.3927,5.39928,5.1563,5.44491,5.46324,5.2211,5.36341,5.42051,5.1377,2.19,0.15,0.36,1.03,2.19,3.37,4.56,2.19,2.19,2.19,2.19,2.25,2.23,2.21,2.16,2.11
0.13,434.69,11.53,5.32176,5.32776,5.38017,5.39906,5.1599,5.42589,5.4626,5.2242,5.3259,5.4188,5.1403,2.17,0.15,0.35,1.02,2.17,3.35,4.54,2.17,2.17,2.17,2.17,2.23,2.22,2.2,2.15,2.04
0.07,435.69,10.437,5.32344,5.32782,5.36806,5.39866,5.1634,5.39819,5.46167,5.2272,5.26278,5.41655,5.1425,2.16,0.14,0.35,1.01,2.16,3.33,4.51,2.16,2.16,2.16,2.16,2.22,2.2,2.18,2.05,2.0900000000000003
0.07,436.93,10.963,5.32197,5.32768,5.36567,5.3979,5.167,5.39322,5.46019,5.2301,5.26162,5.41355,5.1446,2.13,0.13,0.34,0.99,2.13,3.3,4.48,2.13,2.13,2.13,2.13,2.2,2.18,2.16,2.07,2.06
0.05,437.25,10.718,5.32133,5.32744,5.36908,5.39693,5.1705,5.39707,5.45827,5.233,5.2749,5.40972,5.1467,2.11,0.13,0.33,0.97,2.11,3.27,4.45,2.11,2.11,2.11,2.11,2.18,2.16,2.14,2.04,2.06
0.03,433.84,12.626,5.32119,5.32724,5.37103,5.3959,5.174,5.39896,5.45623,5.2359,5.28136,5.40575,5.1488,2.08,0.12,0.31,0.95,2.08,3.23,4.4,2.08,2.08,2.08,2.08,2.16,2.13,2.11,2.08,2.0500000000000003
0.05,440.61,10.898,5.3223,5.32709,5.37764,5.39526,5.1775,5.41447,5.45502,5.2389,5.31645,5.40371,5.1513,2.04,0.1,0.29,0.92,2.04,3.18,4.35,2.04,2.04,2.04,2.04,2.12,2.1,2.07,1.95,1.99
0.04,440.19,11.844,5.32291,5.327,5.37972,5.39483,5.1811,5.41924,5.4543,5.2418,5.33418,5.40298,5.1538,1.98,0.09,0.27,0.88,1.98,3.12,4.27,1.98,1.98,1.98,1.98,2.08,2.05,2.02,1.94,1.94
0.42,448.73,11.507,5.32953,5.32701,5.39021,5.39459,5.1846,5.43478,5.45393,5.2449,5.34833,5.40257,5.1563,1.9,0.06,0.23,0.83,1.9,3.02,4.16,1.9,1.9,1.9,1.9,2.02,1.98,1.95,1.85,1.48
0.2,449.68,10.215,5.32959,5.32705,5.36937,5.39416,5.188,5.38077,5.45291,5.2476,5.2294,5.40065,5.1581,1.77,0.02,0.17,0.73,1.77,2.85,3.97,1.77,1.77,1.77,1.77,1.91,1.87,1.82,1.55,1.57
0.08,450.23,10.19,5.33107,5.32714,5.3671,5.39354,5.1914,5.37501,5.45135,5.2503,5.23693,5.3976,5.16,1.47,0.0,0.04,0.52,1.47,2.48,3.54,1.47,1.47,1.47,1.47,1.66,1.6,1.54,1.16,1.39
0.01,450.79,138.995,5.33253,5.3272,5.36693,5.39266,5.1948,5.36347,5.4491,5.253,5.20073,5.39297,5.1618,,,,,,,,,,,,,,,,
