call,spy,iv,sofr1m,sofr1m50,sofr3m,sofr3m50,sofr3m200,sofr6m,sofr6m50,sofr6m200,sofr12m,sofr12m50,sofr12m200,baseprice,50price,100price,250price,500price,750price,1000price,sofr12mprice,sofr6mprice,sofr3mprice,sofr1mprice,hvol6price,hvol3price,hvol1price,ivolprice,error
11.33,443.13,12.309,5.14533,5.09074,5.27676,5.17681,4.6559,5.38174,5.196,4.822,5.38481,4.99983,4.8456,5.62,4.95,5.07,5.28,5.62,6.15,6.91,5.66,5.69,5.66,5.62,8.16,7.28,6.41,4.88,-5.71
10.11,439.66,12.719,5.16479,5.09449,5.2809,5.18106,4.6651,5.38146,5.20187,4.8296,5.37813,5.00984,4.8519,5.55,4.87,4.98,5.2,5.55,6.08,6.8,5.58,5.59,5.58,5.54,8.07,7.18,6.31,5.55,-4.56
9.66,438.55,12.425,5.17701,5.0981,5.29847,5.18546,4.6744,5.415,5.20835,4.8373,5.45445,5.02167,4.8583,5.47,4.78,4.92,5.12,5.47,6.02,6.8,5.51,5.55,5.51,5.46,7.96,7.1,6.27,4.76,-4.19
9.32,439.66,12.236,5.19386,5.10233,5.2995,5.19054,4.6835,5.40339,5.21587,4.8449,5.4086,5.03495,4.8645,5.4,4.71,4.84,5.04,5.4,5.96,6.76,5.41,5.45,5.41,5.4,7.88,7.05,6.19,4.69,-3.92
10.92,442.46,12.153,5.19643,5.1064,5.30109,5.19569,4.6926,5.40243,5.22349,4.8524,5.38527,5.04813,4.8704,5.33,4.63,4.77,4.96,5.33,5.91,6.67,5.36,5.37,5.36,5.33,7.81,6.94,6.11,4.61,-5.59
12.22,446.02,12.061,5.20222,5.11007,5.31105,5.20029,4.7017,5.41106,5.23012,4.8599,5.38328,5.05961,4.8762,5.29,4.54,4.71,4.88,5.29,5.83,6.6,5.29,5.32,5.29,5.28,7.7,6.85,6.03,4.57,-6.930000000000001
14.55,449.56,12.069,5.22164,5.11382,5.30796,5.20466,4.7105,5.3928,5.2362,4.8671,5.32653,5.06962,4.8815,5.21,4.45,4.62,4.82,5.21,5.8,6.6,5.22,5.23,5.22,5.2,7.59,6.75,5.97,4.49,-9.34
13.84,449.28,12.1,5.22994,5.1175,5.30989,5.20863,4.7194,5.37554,5.24128,4.8741,5.25401,5.07698,4.8861,5.16,4.37,4.55,4.77,5.16,5.75,6.49,5.17,5.18,5.17,5.16,7.52,6.68,5.89,4.43,-8.68
14.96,450.84,12.204,5.24611,5.12162,5.32012,5.21384,4.7283,5.39635,5.24867,4.8812,5.29292,5.08781,4.8907,5.08,4.32,4.47,4.69,5.08,5.68,6.41,5.11,5.11,5.11,5.08,7.45,6.6,5.82,4.38,-9.88
16.77,454.19,12.571,5.25457,5.12584,5.32614,5.21891,4.7371,5.40044,5.25611,4.8881,5.30049,5.09945,4.8952,5.02,4.22,4.4,4.61,5.02,5.63,6.4,5.03,5.04,5.03,5.02,7.33,6.51,5.74,5.02,-11.75
18.03,455.2,13.058,5.26357,5.13011,5.33352,5.22481,4.746,5.39914,5.26518,4.8952,5.2858,5.1141,4.9,4.96,4.12,4.31,4.53,4.96,5.58,6.3,4.96,4.99,4.96,4.94,7.24,6.42,5.67,4.96,-13.07
15.57,452.18,13.029,5.29134,5.13483,5.34557,5.23028,4.755,5.4126,5.27323,4.9026,5.3092,5.12724,4.9055,4.9,4.07,4.25,4.46,4.9,5.51,6.23,4.9,4.9,4.9,4.89,7.14,6.34,5.6,4.9,-10.67
15.67,452.18,12.682,5.29799,5.13971,5.35121,5.23562,4.7638,5.42843,5.28118,4.9098,5.3615,5.14049,4.911,4.84,4.0,4.17,4.4,4.84,5.46,6.23,4.85,4.86,4.85,4.84,7.06,6.26,5.52,4.84,-10.83
16.5,454.2,12.777,5.30538,5.14467,5.35064,5.24067,4.7725,5.42156,5.28859,4.917,5.35298,5.15288,4.9165,4.77,3.93,4.09,4.3,4.77,5.4,6.13,4.77,4.79,4.77,4.77,6.98,6.19,5.45,4.77,-11.73
17.74,455.44,13.247,5.31552,5.1498,5.35736,5.24609,4.7813,5.43125,5.29677,4.9243,5.36297,5.16669,4.9224,4.7,3.85,4.02,4.24,4.7,5.37,6.06,4.71,4.73,4.71,4.7,6.87,6.1,5.38,4.7,-13.04
16.67,455.51,12.84,5.31737,5.15501,5.36559,5.25207,4.7898,5.44526,5.30596,4.9314,5.39786,5.18262,4.9281,4.63,3.79,3.93,4.17,4.63,5.3,6.06,4.64,4.65,4.64,4.63,6.76,6.03,5.3,4.63,-12.040000000000003
