,Date,SPY US 11/17/23 C455 Equity,SPY US Equity,6M SOFR,Implied Vol,Option Delta,Option Gamma,P&L Unhedged,P&L Hedged
0,,5.46,421.82,5.28528,12.576,,,0.0,0.0
1,2023-06-02,7.45,427.92,5.24547,12.57,0.3468714130956466,,-1.9900000000000002,
2,2023-06-05,7.67,427.1,5.28773,12.515,0.33509707804259575,1.85027661503519e-08,-0.21999999999999975,-0.5044345587384276
3,2023-06-06,6.64,428.03,5.27695,12.16,0.3379688402703238,1.8199586943414854e-21,1.0300000000000002,1.3416402825795974
4,2023-06-07,6.64,426.55,5.27788,11.923,0.3174948756498896,1.121532936802358e-24,-0.0,-0.5001938836000662
5,2023-06-08,6.63,429.13,5.29207,11.756,0.34150546829962364,4.3408257103634866e-21,0.009999999999999787,0.8291367791767099
6,2023-06-09,6.87,429.9,5.26715,11.99,0.35159530217406265,3.3096307738988916e-19,-0.2400000000000002,0.02295921059070377
7,2023-06-12,8.43,433.8,5.28611,12.204,0.39392289509456335,9.220830199342623e-06,-1.5599999999999996,-0.18877832152114338
8,2023-06-13,9.8,436.66,5.29464,12.508,0.4274397823135241,4.3510624278049805e-10,-1.370000000000001,-0.24338052002954447
9,2023-06-14,9.56,437.18,5.26695,12.56,0.4319714985100263,1.5461556166830956e-09,0.2400000000000002,0.46226868680302496
10,2023-06-15,12.51,442.6,5.28853,12.776,0.4918205995490632,2.9319576651867832e-05,-2.9499999999999993,-0.6087144780756497
11,2023-06-16,11.87,439.46,5.28937,13.056,0.45849968787762035,3.651835993341916e-07,0.6400000000000006,-0.9043166825840792
12,2023-06-20,10.5,437.18,5.3086,12.69,0.42768779279641855,0.000867337614864671,1.3699999999999992,0.3246207116390374
13,2023-06-21,9.41,434.94,5.31173,12.449,0.39955532054299975,6.727175329357517e-12,1.0899999999999999,0.13197934413601842
14,2023-06-22,9.42,436.51,5.3345,12.2,0.41420281137642423,1.1590896487472145e-10,-0.009999999999999787,0.6173018532525071
15,2023-06-23,8.27,433.21,5.32909,12.008,0.3728772453216825,1.0402433611032102e-14,1.1500000000000004,-0.2168692775422043
16,2023-06-26,7.02,431.44,5.32042,11.861,0.34653930892920115,5.296928169121224e-07,1.25,0.5900072757806288
17,2023-06-27,8.55,436.17,5.32433,11.649,0.3985441043428803,6.659537923699022e-12,-1.5300000000000011,0.10913093123512652
